year,district,species_name_raw,species_key,landing_qty_tonnes
2023-24,MLPM,Elasmobranchs,shark_ray,24.0
2023-24,KKD,Elasmobranchs,shark_ray,180.0
2023-24,KNR,Elasmobranchs,shark_ray,24.0
2023-24,KSD,Elasmobranchs,shark_ray,23.0
2023-24,TVPM,Eels,,2.0
2023-24,KLM,Eels,,4.0
2023-24,ALP,Eels,,0.0
2023-24,EKM,Eels,,533.0
2023-24,TCR,Eels,,0.0
2023-24,MLPM,Eels,,79.0
2023-24,KKD,Eels,,334.0
2023-24,KNR,Eels,,3.0
2023-24,KSD,Eels,,1.0
2023-24,TVPM,Cat Fish,cat_fish,11.0
2023-24,KLM,Cat Fish,cat_fish,71.0
2023-24,ALP,Cat Fish,cat_fish,22.0
2023-24,EKM,Cat Fish,cat_fish,76.0
2023-24,TCR,Cat Fish,cat_fish,5.0
2023-24,MLPM,Cat Fish,cat_fish,1.0
2023-24,KKD,Cat Fish,cat_fish,40.0
2023-24,KNR,Cat Fish,cat_fish,15.0
2023-24,KSD,Cat Fish,cat_fish,0.0
2023-24,TVPM,Chirocentrus,,81.0
2023-24,KLM,Chirocentrus,,31.0
2023-24,ALP,Chirocentrus,,11.0
2023-24,EKM,Chirocentrus,,133.0
2023-24,TCR,Chirocentrus,,1.0
2023-24,MLPM,Chirocentrus,,72.0
2023-24,KKD,Chirocentrus,,83.0
2023-24,KNR,Chirocentrus,,2.0
2023-24,KSD,Chirocentrus,,0.0
2023-24,TVPM,Oil Sardine,oil_sardine,1004.0
2023-24,KLM,Oil Sardine,oil_sardine,29957.0
2023-24,ALP,Oil Sardine,oil_sardine,15265.0
2023-24,EKM,Oil Sardine,oil_sardine,21589.0
2023-24,TCR,Oil Sardine,oil_sardine,12580.0
2023-24,MLPM,Oil Sardine,oil_sardine,7850.0
2023-24,KKD,Oil Sardine,oil_sardine,13981.0
2023-24,KNR,Oil Sardine,oil_sardine,10994.0
2023-24,KSD,Oil Sardine,oil_sardine,2102.0
2023-24,TVPM,Lesser Sardines,lesser_sardines,1981.0
2023-24,KLM,Lesser Sardines,lesser_sardines,3246.0
2023-24,ALP,Lesser Sardines,lesser_sardines,29.0
2023-24,EKM,Lesser Sardines,lesser_sardines,63.0
2023-24,TCR,Lesser Sardines,lesser_sardines,416.0
2023-24,MLPM,Lesser Sardines,lesser_sardines,0.0
2023-24,KKD,Lesser Sardines,lesser_sardines,287.0
2023-24,KNR,Lesser Sardines,lesser_sardines,105.0
2023-24,KSD,Lesser Sardines,lesser_sardines,9.0
2023-24,TVPM,Hilsa Ilisha,,0.0
2023-24,KLM,Hilsa Ilisha,,0.0
2023-24,ALP,Hilsa Ilisha,,0.0
2023-24,EKM,Hilsa Ilisha,,0.0
2023-24,TCR,Hilsa Ilisha,,0.0
2023-24,MLPM,Hilsa Ilisha,,0.0
2023-24,KKD,Hilsa Ilisha,,0.0
2023-24,KNR,Hilsa Ilisha,,0.0
2023-24,KSD,Hilsa Ilisha,,0.0
2023-24,TVPM,Other Hilsa,,0.0
